text,labels
"A child and a man, presumably the father, are cycling in the countryside. They are travelling up hills and eventually come to a halt. They leaves their bikes propped up against a tree. They are now on a hill overlooking the sea. The father retrieves a boat and it soon becomes apparent that the girl wont be allowed to join him on it. He sails off into the sunset as the child looks  on. Eventually he vanishes and the girl is left staring at the empty ocean. She cycles off and returns twice but although his bike is still there, the man is not. The child wears a worried expression and the film ends with a shot of the sun shining.","[1, 0, 0, 0, 0, 0]"
"Scene opens with a father and daughter riding bikes together on a path through a field. They continue until they reach a row of trees, overlooking a body of water.  They dismount and leave the bikes by the side of the road. The father makes his way down a hill, to the water's edge, to a small rowing boat. Before getting in he climbs back up the hill and embraces his daughter a final time. He returns to the boat and rows away from land. As he travels further away the daughter runs up and down the path/cliff that overlooks the water, restlessly, as if unsure what to do next. She cycles off eventually and returns at a later date. Her father's bike is still propped up against one of the trees. She looks out across the water but it's still, lifeless. Again, she cycles off alone. ","[1, 1, 0, 0, 0, 0]"
"The clip commences with a cross view of the girl and her father, a man in an overcoat, both riding bicycles along a path in an apparent countryside or rural area. There is a closeup shot of the two bikes, contrasting the size of the two front wheels, the father's being the bigger. As the clip progresses, so too does the journey or route taken by the pair. The landscape changes slightly, trees are passed, hills are climbed, with the struggle of the ascension of the hill captured by the loss of speed of both bikes. The girl obviously trying desperately to keep up with her father is so focused she does not notice him stop and rest his bike against the tree. Eventually she does and comes back and too, rests her bike beside his. He then pulls her into an embrace and she stays in his arms. He then descends the hill and a boat on water comes into sight. He climbs back up the hill toward the tree and pulls his daughter up into the air into a strong hug. He places her down and pauses momentarily, perhaps due to emotion, and again continues down toward the boat where he proceeds to row away from the bank. She stands alone, and eventually mounts her bike and cycles away as we see the small boat, a black dot on the horizon. The colour of the scene then changes from a brightish yellow to a darker red/orange. This may be to convey emotion as the tale takes a darker twist as we see the girl coming back to the same spot at the tree where she last saw her father but to no avail, he has not returned, or perhaps he has arrived..","[0, 3, 1, 1, 0, 0]"
"A girl cycles with her father to see him off at the beginning of the father's journey. They hug goodbye, and the father makes to leave. He returns for one last embrace before rowing away in the boat. The girl cycles home alone. Later, the girl returns to the scene of the goodbye. She seems to be waiting for her father to return, but he doesn't reappear. Eventually she gives up and returns home without him. ","[0, 1, 1, 0, 0, 0]"
"A father and daughter are cycling through the countryside. They cycle a long distance. Eventually they come to a very big hill, and both cycle up it. Then they come to some trees and the father gets off his bike and rests it against the tree. The daughter parishes bike beside his. He then goes down a steep hill to the shore where there is a small boat with oars waiting. He goes back up the hill to hug his daughter and then sails away into the horizon in the little boat. The daughter becomes clearly distressed and waits a long time, when he does not come back she cycles away. After some time has passed she returns to the place by the trees to look for him again. His bike is where he left it on the first day but he is not.","[1, 0, 1, 0, 0, 1]"
"A father and daughter go on a cycling trip. They are cycling together in an idyllic countryside setting. They come across a hill, and once they reach the top they park their bikes beside two trees there. The father gives his a daughter a great big hug, and the daughter loves him back. Then unexpectedly the father climbs down the hill to a small bay where there is a boat floating on the sea. He pauses watching the sea, then runs back up the hill and hugs his daughter for what we know now is the last time. He climbs back down the hill and sails off in the boat into the sunset. The daughter has a confused and sad look on her face. She never forgets about her father because even when she' solder she returns to where he left. ","[3, 1, 0, 0, 0, 0]"
"A father and his daughter are cycling together. Although the daughter is using the pedals, her bike is attached to his and so she is dependent upon him (he is doing all the work). They cycle up a hill and come to a tree which they lean their bikes against. The father sees a boat docked by the lake the hill overlooks and he hugs his daughter in a farewell gesture. He then gets into the boat and starts to row across the lake. The daughter seems visibly distressed and watches her father as he disappears from view. She then gets back on her bike and cycles away slowly, obviously sad that her father is gone. We then see the daughter cycling back towards the hill frantically and she struggles to get up by herself but eventually does. She gets to the top and looks out at the lake for her father but there is nothing to be seen on the horizon. She gets back on her bike and cycles slowly home.","[2, 0, 0, 0, 0, 0]"
The father and daughter spent time together by cycling.The father showed love and affection towards his daughter before he leaved to go onto the boat. He left his bike there. His daughter waited for him to come back. She drove back to the same place several times to see if he was there. It's clear she deeply loves and misses him.,"[2, 1, 1, 2, 0, 0]"
"The film depicts a girl and her father. They go out cycling through the countryside. It is a touching portrayal of the loving father - daughter relationship. They come to the end of the road and the father has to leave the daughter, as he sails off in a boat.  This is possibly a metaphor for his death or perhaps the end of her childhood and beginning of puberty as their relationship begins to grow further apart. The girl then cycles off alone. She returns back to the spot where her father left her in the hope that he will come home.","[3, 0, 0, 2, 0, 1]"
"This scene features a young girl and her dad cycling together. It's not immediately clear what they're cycling to but it seems like he loves her because he keeps hugging and kissing her and is generally affectionate by picking her up. It seems like a typical positive relationship but then the father leaves and we see a boat. He returns to her daughter and I thought it looked like a goodbye which was quite sad. The father then rows away and leaves the little girl staring after him. She then cycles away only to return later as the viewer imagines she will continue to do as she waits for the day her father will return for her. The father's bike is left behind though, which may have been a promise for him to return but it doesn't seem likely since the girl is obviously older when she returns to the cliff area again to check if he's there. ","[1, 1, 1, 3, 0, 0]"
"The movie showed a man and a girl (I presumed by the title that it was father and daughter) cycling. They cycled and cycled, most of the time side by side, through different scenarios, until they arrived at a place with two big trees, the father stopped and parked his bicycle beside a tree and the girl followed his action by also parking her bicycle. Then the father went down a hill and the girl stayed on the top of the hill. At the bottom of the hill there was a lake which had a boat in it. The father came back up the hill, picked the girl up and gave her a hug. He then went back down and into to the little boat, the girl stayed on top of the hill looking at him. He went off in the boat and she stayed there, it seemed that she was waiting for him to come back. After some time she got her bicycle and left. After some more time she came back to check if he had come back.","[0, 1, 1, 0, 0, 0]"
"A simple story of a father abandoning his daughter for reasons unknown. The pair are seen cycling on a bare landscape to a simple setting of trees and a lake. The father embraces his daughter and - with apparent difficulty - walks down the hill to a small empty boat on water, pausing with trepidation. He seems to be deep in contemplation. After a few seconds he returns to his daughter for a second embrace, swinging her lovingly in the air before returning to the boat and rowing away from her into the unseen distance without any apparent explanation. The young girl is left alone, frantic on the side of the bank and eventually cycles away only to return sometime later (and maybe frequently) on her bike to the same spot in the hope of her father returning. Although the animation was simple, it did not take away from it's poignancy. in fact the simple fact that the story was portrayed through childlike animation made it all the more touching.","[1, 0, 0, 1, 1, 0]"
The story showed a father and daughter cycling up a big hill and stopped by some tees. At the bottom of the hill was a shore line and a boat was tied up to the shore. The father hugged his daughter goodbye and left on a boat. She then cycled away alone. she returned later when she was a older on her bike making it up to the top of the big hill to see if he father had returned. But he had not she was left alone at the end of the story.,"[0, 0, 1, 0, 0, 0]"
